date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner,month
1930-07-13,belgium,united states,0,3,fifa world cup,montevideo,uruguay,True,away_team,july
1930-07-13,france,mexico,4,1,fifa world cup,montevideo,uruguay,True,home_team,july
1930-07-14,brazil,yugoslavia,1,2,fifa world cup,montevideo,uruguay,True,away_team,july
1930-07-14,peru,romania,1,3,fifa world cup,montevideo,uruguay,True,away_team,july
1930-07-15,argentina,france,1,0,fifa world cup,montevideo,uruguay,True,home_team,july
1930-07-16,chile,mexico,3,0,fifa world cup,montevideo,uruguay,True,home_team,july
1930-07-17,bolivia,yugoslavia,0,4,fifa world cup,montevideo,uruguay,True,away_team,july
1930-07-17,paraguay,united states,0,3,fifa world cup,montevideo,uruguay,True,away_team,july
1930-07-18,uruguay,peru,1,0,fifa world cup,montevideo,uruguay,False,home_team,july
1930-07-19,argentina,mexico,6,3,fifa world cup,montevideo,uruguay,True,home_team,july
1930-07-19,chile,france,1,0,fifa world cup,montevideo,uruguay,True,home_team,july
1930-07-20,belgium,paraguay,0,1,fifa world cup,montevideo,uruguay,True,away_team,july
1930-07-20,bolivia,brazil,0,4,fifa world cup,montevideo,uruguay,True,away_team,july
1930-07-21,uruguay,romania,4,0,fifa world cup,montevideo,uruguay,False,home_team,july
1930-07-22,argentina,chile,3,1,fifa world cup,montevideo,uruguay,True,home_team,july
1930-07-26,argentina,united states,6,1,fifa world cup,montevideo,uruguay,True,home_team,july
1930-07-27,uruguay,yugoslavia,6,1,fifa world cup,montevideo,uruguay,False,home_team,july
1930-07-30,uruguay,argentina,4,2,fifa world cup,montevideo,uruguay,False,home_team,july
1933-06-11,sweden,estonia,6,2,fifa world cup qualification,stockholm,sweden,False,home_team,june
1933-06-29,lithuania,sweden,0,2,fifa world cup qualification,kaunas,lithuania,False,away_team,june
1933-09-24,yugoslavia,switzerland,2,2,fifa world cup qualification,belgrade,yugoslavia,False,draw,september
1933-10-15,poland,czechoslovakia,1,2,fifa world cup qualification,warsaw,poland,False,away_team,october
1933-10-29,switzerland,romania,2,2,fifa world cup qualification,bern,switzerland,False,draw,october
1934-01-28,haiti,cuba,1,3,fifa world cup qualification,port-au-prince,haiti,False,away_team,january
