team,strength,win_percentage,avg_goals_for,avg_goals_against,matches,wins,home_win_percentage,away_win_percentage
afghanistan,weak,23.333333333333332,0.6666666666666666,2.466666666666667,30,7,26.666666666666668,20.0
albania,weak,21.551724137931032,0.75,1.7413793103448276,116,25,31.03448275862069,12.068965517241379
algeria,medium,45.689655172413794,1.5689655172413792,1.0517241379310345,116,53,62.06896551724138,29.310344827586203
american samoa,weak,20.0,0.6666666666666666,6.666666666666667,15,3,28.57142857142857,12.5
andorra,weak,6.25,0.34375,2.96875,64,4,9.375,3.125
angola,weak,35.8974358974359,1.205128205128205,0.9358974358974359,78,28,55.26315789473685,17.5
anguilla,weak,0.0,0.16666666666666666,4.277777777777778,18,0,0.0,0.0
antigua and barbuda,weak,35.0,1.625,1.725,40,14,47.61904761904761,21.052631578947366
argentina,strong,56.07843137254902,1.7254901960784315,0.9568627450980393,255,143,67.78523489932886,39.62264150943396
armenia,weak,18.055555555555554,0.8472222222222222,1.9722222222222223,72,13,22.22222222222222,13.88888888888889
aruba,weak,22.727272727272727,1.2727272727272727,2.9545454545454546,22,5,27.27272727272727,18.181818181818183
australia,strong,55.026455026455025,2.3174603174603177,0.873015873015873,189,104,71.42857142857143,37.362637362637365
austria,medium,46.62576687116564,1.687116564417178,1.2392638036809815,163,76,61.36363636363637,29.333333333333332
azerbaijan,weak,10.606060606060606,0.5151515151515151,1.8484848484848484,66,7,15.151515151515152,6.0606060606060606
bahamas,weak,20.0,1.05,3.3,20,4,18.181818181818183,22.22222222222222
bahrain,weak,35.45454545454545,1.2363636363636363,1.0363636363636364,110,39,40.0,30.909090909090907
bangladesh,weak,16.666666666666664,0.6212121212121212,2.4696969696969697,66,11,22.58064516129032,11.428571428571429
barbados,weak,25.0,0.925,1.95,40,10,26.31578947368421,23.809523809523807
belarus,weak,21.21212121212121,1.0303030303030303,1.8333333333333333,66,14,33.33333333333333,9.090909090909092
belgium,strong,54.166666666666664,1.9322916666666667,1.1510416666666667,192,104,66.0,41.30434782608695
